800,16,20,10265
800,8,20,8637
800,4,20,8597
800,2,20,8520
800,1,20,8486
400,16,20,8524
400,8,33,14034
400,4,43,18276
400,2,88,37364
400,1,201,85662
200,16,27,11477
200,8,50,21293
200,4,85,36148
200,2,193,82091
200,1,358,152134
100,16,36,15253
100,8,68,28847
100,4,128,54287
100,2,233,98941
100,1,482,204533
50,16,39,17149
50,8,68,29119
50,4,141,59831
50,2,272,115361
50,1,526,225339
25,16,117,49620
25,8,157,66659
25,4,210,89067
25,2,316,134084
25,1,571,248339
1,16,579,249463
1,8,579,248473
1,4,579,253307
1,2,579,257255
1,1,597,263787
