800,16,20,8921
800,8,20,8967
800,4,20,8757
800,2,20,8724
800,1,20,9112
400,16,25,10982
400,8,32,13894
400,4,55,23727
400,2,102,45284
400,1,163,70145
200,16,32,13772
200,8,50,21580
200,4,114,49051
200,2,191,91918
200,1,344,155687
100,16,31,13298
100,8,65,29326
100,4,131,58205
100,2,246,112516
100,1,475,211031
50,16,36,16912
50,8,68,30808
50,4,144,63553
50,2,265,113230
50,1,518,224865
25,16,118,51118
25,8,153,66872
25,4,204,87445
25,2,324,144818
25,1,574,246793
1,16,579,254459
1,8,579,252388
1,4,579,252911
1,2,579,253506
1,1,597,257513
