800,16,20,8531
800,8,20,8775
800,4,20,8692
800,2,20,9149
800,1,20,9026
400,16,23,10376
400,8,25,11142
400,4,65,28489
400,2,94,41127
400,1,183,81361
200,16,29,12907
200,8,58,25048
200,4,97,42979
200,2,193,85899
200,1,375,168511
100,16,35,15130
100,8,63,27291
100,4,126,55049
100,2,246,107901
100,1,477,206449
50,16,37,16186
50,8,74,32619
50,4,138,59026
50,2,269,113457
50,1,536,226274
25,16,119,54767
25,8,154,69699
25,4,213,92115
25,2,323,141658
25,1,571,250661
1,16,579,253755
1,8,579,254253
1,4,579,254269
1,2,579,255422
1,1,594,262889
